,x,y,color
0,27.052100175254385,-9.912864653945315,NewsWCL50
1,41.02482842278528,-12.550290358811775,NewsWCL50
2,41.158296328977094,-11.983150695021175,NewsWCL50
3,42.330934995228354,-11.245961965763081,NewsWCL50
4,42.12674975826511,-13.738802611564566,NewsWCL50
5,40.227100342480576,-11.978437264066091,NewsWCL50
6,43.690572219624464,-14.693000257428986,NewsWCL50
7,42.09786860844607,-13.880427402582427,NewsWCL50
8,42.38340060364922,-13.849548132752986,NewsWCL50
9,40.52074560082601,-12.225199401474933,NewsWCL50
10,32.87811705599644,-6.880453891073867,NewsWCL50
11,42.449197119059725,-12.69344578071189,NewsWCL50
12,42.04498450951527,-13.781730243064382,NewsWCL50
13,42.681149522959686,-15.173211021303276,NewsWCL50
14,41.299863456820304,-11.399300895921684,NewsWCL50
15,43.83819083971153,-10.70304438859857,NewsWCL50
16,0.7839640594146787,-11.456409830642842,NewsWCL50
17,23.677969623170878,1.0526542984010148,NewsWCL50
18,23.67864356606784,0.8694106606470141,NewsWCL50
19,37.04564628678929,-10.684928184477434,NewsWCL50
20,-28.386597701552972,-12.977080193854567,NewsWCL50
21,-28.38445095955613,-12.977152001547243,NewsWCL50
22,53.85914358372642,25.792160227413003,NewsWCL50
23,47.97727564426371,-0.5047828201556248,NewsWCL50
24,47.76860577365167,-1.233694686476323,NewsWCL50
25,46.52675328384093,-0.47689656234747324,NewsWCL50
26,36.44769098739502,-14.209394103400946,NewsWCL50
27,36.73046175793093,-14.025981219259496,NewsWCL50
28,47.986133284183865,-0.5332980322025661,NewsWCL50
29,53.82225492497339,25.924014290414966,NewsWCL50
30,50.26951425449747,-7.998040276532306,NewsWCL50
31,50.2763259428968,-7.986419782843398,NewsWCL50
32,50.250627096871476,-8.021282752673603,NewsWCL50
33,32.963827680960556,29.490519127936142,NewsWCL50
34,31.095561535996985,-10.49873217807331,NewsWCL50
35,27.236198855016294,-9.900466318089654,NewsWCL50
36,-9.200105839194471,-23.88242916591826,NewsWCL50
37,31.50148394649625,-9.765505460927733,NewsWCL50
38,42.33277306645073,-11.246169705801123,NewsWCL50
39,29.442072453601714,-7.001745924336669,NewsWCL50
40,28.54364632058618,-2.386227978172002,NewsWCL50
41,31.360338890463435,-9.82951048058064,NewsWCL50
42,31.222027798985284,-9.710076520542618,NewsWCL50
43,40.33945400621957,-11.002991117333686,NewsWCL50
44,40.432187513981184,-11.017650625261941,NewsWCL50
45,31.303866291970714,-10.74501649834535,NewsWCL50
46,31.360242361785847,-9.832252345456203,NewsWCL50
47,41.10744850273497,-10.056038910248972,NewsWCL50
48,-26.769079417796082,-0.9334089224769513,NewsWCL50
49,48.65303003855909,-2.3533391407639517,NewsWCL50
50,48.74239606222202,-2.380614742289477,NewsWCL50
51,-31.616432580770596,-14.226870037365904,NewsWCL50
52,48.672173642931796,-2.3916225815973116,NewsWCL50
53,-28.357045954815245,-12.892914841903174,NewsWCL50
54,53.448459051149676,-18.94345225742501,NewsWCL50
55,-63.719298877917915,-32.889152414357945,NewsWCL50
56,38.49097545733748,-10.011154179721695,NewsWCL50
57,37.76008832521501,-10.660357635944667,NewsWCL50
58,47.91671738271922,-1.9188780407426673,NewsWCL50
59,-28.38607926305732,-12.978271689046101,NewsWCL50
